id;gold;google_raw_all;google_raw_clean;google_preproc_all;google_preproc_clean;tess_preproc
400621085_1045894336434353_313474375295542894_n.jpg;Eu: Am luat salariul. Maşina: Salariul nostru;Eu: Am luat salariul. Maşina: Salariul nostru @ghost___hug;Eu: Am luat salariul. Maşina: Salariul nostru @ ghost___hug;Eu: Am luat salariul. Maşina:;Eu: Am luat salariul. Maşina:;Eu: Am luat salariul. Maşina:
1tfs8vwck64d1.jpeg;Românii cand aud in copaci pasari diverse țipând si ciripind flindca sunt excitate in calduri si vor sex;Românii cand aud in copaci pasari diverse țipând si ciripind fiindca sunt excitate in calduri si vor sex made with mematic;Românii cand aud in copaci pasari diverse țipând si ciripind fiindca sunt excitate in calduri si vor sex made with mematic;Românii cand aud in copaci pasari diverse ţipând si ciripind fiindca sunt excitate in calduri si vor sex;Românii cand aud in copaci pasari diverse ţipând si ciripind fiindca sunt excitate in calduri si vor sex;Românii cand aud in copaci pasari diverse ţipând si ciripind fiindca sunt excitate in calduri si vor sex
Screenshot 2024-06-07 at 21.50.21.png;CIORBĂ DE BERISOARE, urmăriți-ne pentru mai multe rețete!!;CIORBĂ DE BERIȘOARE, urmăriți-mă pentru mai multe reţete!! CLASICA Ma 159 CLASI;CIORBĂ DE BERIȘOARE, urmăriți-mă pentru mai multe reţete!! CLASICA Ma 159 CLASI;CORDA DE BER SOARE, U me ل;CORDA DE BER SOARE, U me ل;(o d *
441279321_958736742621210_7720865533366781281_n.jpg;Mergi sa-i cunosti parintii si i suna telefonu' lu' tacsu la tine in geacă;Mergi sa-i cunosti parinţii şi îi suna telefonu' lu' tacsu la tine in geacă;Mergi sa-i cunosti parinţii şi îi suna telefonu ' lu ' tacsu la tine in geacă;;;
 -18.jpg;RO ALERT EU;RO ALERT الا Eu;RO ALERT الا Eu;RO ALERT Eu;RO ALERT Eu;Eu
 -9.jpg;Am nimerit la nebuni! Vaiii, ce-mi place!;Am nimerit la nebuni! Vaiii, ce-mi place!;Am nimerit la nebuni! Vaiii, ce-mi place!;Am nimerit la nebu! Vaiii, ce-mi place!;Am nimerit la nebu! Vaiii, ce-mi place!;Fu 1 IL et citreial i ce-mi plac
431071148_404131768974922_3208362728933434205_n.jpg;de ce nu vrei sa intrii la o cafea? sosetele mele:;"""de ce nu vrei sa intrii la o cafea?"" sosetele mele:";""" de ce nu vrei sa intrii la o cafea? "" sosetele mele:";"""de ce nu vrei sa intrii la o cafea?"" sosetele mele:";""" de ce nu vrei sa intrii la o cafea? "" sosetele mele:";“de ce nu vrei sa intrii la o cafea?” sosetele mele:
Screenshot 2024-06-07 at 22.23.07.png;CE S-A SCHIMBAT TURNU EFEL;CE SA SCHIMBAT TURNU EFEL;CE SA SCHIMBAT TURNU EFEL;CE S A SCHIMBAT TURNU EFEL;CE S A SCHIMBAT TURNU EFEL;4 GE S A SCHIMBAT TURNU EFEL
430050075_10231000555338577_6332892781437023655_n.jpg;Dacă nu vă potoliți îl opresc iar ....;Dacă nu vă potoliţi îl opresc iar ....;Dacă nu vă potoliţi îl opresc iar....;Dacă nu vă potoliţi îl opresc iar ....;Dacă nu vă potoliţi îl opresc iar....;Dacă nu vă potoliți îl opresc iar ....
Screenshot 2024-06-07 at 21.47.12.png;Întâi facem o poza sa punem pe story  Eu:;Întâi facem o poza sa punem pe story Eu:;Întâi facem o poza sa punem pe story Eu:;Întâi facem o poza sa punem pe story Eu:;Întâi facem o poza sa punem pe story Eu:;Întâi facem o poza sa punem pe story Eu:
Screenshot 2024-06-07 at 21.15.26.png;I-am spus ca poate să o bage oriunde și el a băgat-o în sor'mea;I-am spus că poate să o bage oriunde Și el a băgat-o în sor'mea;I-am spus că poate să o bage oriunde Și el a băgat-o în sor ' mea;I-am spus ca poate sa 0 bage oriunde Si el a băgat-o în sor'mea;I-am spus ca poate sa 0 bage oriunde Si el a băgat-o în sor ' mea;l-am spus câ poate să o bage oriunde Sl el a bagat-o în o sor mea
 -8.jpg;AI DE PLM;memegen.com AI DE PLM;memegen. com AI DE PLM;AI DE PLM;AI DE PLM;) ] AI DE PLM
o9jw5f7nqu091.jpg;DESCOPERIRE ARHEOLOGICĂ! FARAON ÎN VASLUI;DESCOPERIRE ARHEOLOGICĂ! FARAON ÎN VASLUI;DESCOPERIRE ARHEOLOGICĂ! FARAON ÎN VASLUI;DESCOPERIRE ARHEOLOGICĂ! FARAON ÎN VASLUI;DESCOPERIRE ARHEOLOGICĂ! FARAON ÎN VASLUI;DESCOPERIRE ARHEOLOGICĂ! FARAON ÎN VASLUI
425504676_1090497521974034_1249677144923454041_n.jpg;Când te cheamă bietii la furat dar mă-ta nu te lasă să iesi din casă;Când te cheamă băieții la furat dar mă-ta nu te lasă să ieși din casă 97 เร 75 adida 4 @poze amuzante 01;Când te cheamă băieții la furat dar mă-ta nu te lasă să ieși din casă 97 เร 75 adida 4 @ poze amuzante 01;Când te cheamă băieţii la furat dar mă-ta nu te lasă să ieși din casă;Când te cheamă băieţii la furat dar mă-ta nu te lasă să ieși din casă;Când te cheamă băieţii la furat dar mă-ta nu te lasă să ieși din casă
 -19.jpg;NOUL ALBUM AL LUI SALAM;NOUL ALBUM AL LUI SALAM;NOUL ALBUM AL LUI SALAM;NOUL ALBUM AL LUI SALAM;NOUL ALBUM AL LUI SALAM;NOV. ALBUM AL LUI SALAM 7
Screenshot 2024-06-07 at 21.52.27.png;Eu uitându-mã la povestea mea la fiecare 2 minute pentru că imi place melodia pe care am pus-o;Eu uitându-mă la povestea mea la fiecare 2 minute pentru că imi place melodia pe care am pus-o;Eu uitându-mă la povestea mea la fiecare 2 minute pentru că imi place melodia pe care am pus-o;;;|! i]
438096708_10231352347053150_3594729840585343913_n.jpg;Când ești in perfectă armonie cu natura.;Când eşti în perfectă armonie cu natura.;Când eşti în perfectă armonie cu natura.;i Când eşti în perfectă armonie cu natura.;i Când eşti în perfectă armonie cu natura.;Ei - = =
Screenshot 2024-06-07 at 22.06.43.png;VREAU SI EU O EMOLOAICA DIN AIA;"""VREAU SI EU O EMOLOAICA DIN AIA""";""" VREAU SI EU O EMOLOAICA DIN AIA """;"""VREAU SI EU O EMOLOAICA DIN AIA""";""" VREAU SI EU O EMOLOAICA DIN AIA """;"“VREAU SI EU 0 EMOLOAICA DIN AIA"""
 -20.jpg;Profa: Porniti camerele sa va vad Eu care de abia m-am trezit:;Profa: Porniţi camerele sa va vad Eu care abia m-am trezit:;Profa: Porniţi camerele sa va vad Eu care abia m-am trezit:;Profa: Porniţi camerele sa va vad Eu care abia m-am trezit:;Profa: Porniţi camerele sa va vad Eu care abia m-am trezit:;Profa : Porniţi camerele sa va vad Eu care abia m-am trezit:
4w99mdrqcom91.png;MĂI ELISABETA, MĂI ȘI CE TÂNĂRĂ ERAI;MÃI ELISABETIA, M ŞI CE TÂNĂRĂ ERAI;MÃI ELISABETIA, M ŞI CE TÂNĂRĂ ERAI;MĂI ELISABETA. MAI ŞI CE TÂNĂRĂ ERAI;MĂI ELISABETA. MAI ŞI CE TÂNĂRĂ ERAI;7 MĂL ELISABETA, MĂI ia 3 (e v ȘI CE TÂNĂRĂ ERAI
351309351_218353977725348_6210578767431041000_n.jpg;Noaptea in alte tări. Noaptea in România.;Noaptea in alte țări. Noaptea in România. HAM T;Noaptea in alte țări. Noaptea in România. HAM T;• Noaptea in alte ţări. Noaptea in România.;Noaptea in alte ţări. Noaptea in România.;Noaptea in alte țări.
Screenshot 2024-06-07 at 21.44.45.png;câtă răbdare poti avea? eu:;"""câtă răbdare poți avea?"" Eu";""" câtă răbdare poți avea? "" Eu";"""câtă răbdare poţi avea?” Eu";""" câtă răbdare poţi avea? ” Eu";"""câtă răbdare poţi avea?” Eu"
Screenshot 2024-06-07 at 21.57.39.png;chelnerul: plătiți împreună sau separat?  femeile:;chelnerul: plătiţi împreună sau separat? femeile: tn;chelnerul: plătiţi împreună sau separat? femeile: tn;chelnerul: plătiți impreună sau separat? femeile:;chelnerul: plătiți impreună sau separat? femeile:;chelnerul: platiii impreună sâu separat? femeile:
hqcg0f27id1b1.jpg;Profesorii: *fac grevă, iar orele nu se tin* Elevii care nu sunt an terminal:;Profesorii: *fac grevă, iar orele nu se țin* Elevii care nu sunt an terminal: r/rimemes;Profesorii: * fac grevă, iar orele nu se țin * Elevii care nu sunt an terminal: r / rimemes;Profesorii: *fac grevă, iar orele nu se țin* Elevii care nu sunt an terminal:;Profesorii: * fac grevă, iar orele nu se țin * Elevii care nu sunt an terminal:;Profesorii: *fac grevă, iar orele nu se ţin“ Elevii care nu sunt an terminal:
Screenshot 2024-06-07 at 21.07.34.png;Atunci când te intorci de la muncă din Italia si trebuie sã te culci din nou cu souțl tău pe gratis...;Atunci când te întorci de la muncă din Italia şi trebuie să te culci din nou cu soțul tău pe gratis...;Atunci când te întorci de la muncă din Italia şi trebuie să te culci din nou cu soțul tău pe gratis...;;;
